Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
12,1111111110,1101101101,3,exacto,"| ⎛ A,B,D,E,F,G,I ⎞ | ⎛ C ⎞ | ⎛ H ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.015096515417098999,0.03196215629577637
13,1111111110,1010101010,3,exacto,"| ⎛ A,B,E,F,G,H,I ⎞ | ⎛ D ⎞ | ⎛ C ⎞ |
| ⎝   a,c,e,g,i   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0029161572456359863,0.010143041610717773
14,1111111110,0101010101,3,exacto,"| ⎛ A,B,D,F,G,H,I ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝   b,d,f,h,j   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03760427236557007,0.010117530822753906
15,0111111111,1111111111,3,exacto,"| ⎛    C,D,E,G,H,I,J    ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.20348769426345825,0.3872795104980469
16,0111111111,1111111110,3,exacto,"| ⎛   C,D,E,G,H,I,J   ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.018421977758407593,0.15591073036193848
17,0111111111,0111111111,3,exacto,"| ⎛   C,D,E,G,H,I,J   ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.16456297039985657,0.15816164016723633
18,0111111111,0111111110,3,exacto,"| ⎛  B,D,E,F,G,H,J  ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.020086735486984253,0.06760883331298828
19,0111111111,1101101101,3,exacto,"| ⎛ B,D,E,F,G,I,J ⎞ | ⎛ C ⎞ | ⎛ H ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.015096515417098999,0.03122854232788086
20,0111111111,1010101010,3,exacto,"| ⎛ B,E,F,G,H,I,J ⎞ | ⎛ D ⎞ | ⎛ C ⎞ |
| ⎝   a,c,e,g,i   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0029161572456359863,0.00995945930480957
21,0111111111,0101010101,3,exacto,"| ⎛ B,D,F,G,H,I,J ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝   b,d,f,h,j   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03760427236557007,0.009376287460327148
22,0111111110,1111111111,3,exacto,"| ⎛     C,D,E,G,H,I     ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.20348769426345825,0.34633398056030273
23,0111111110,1111111110,3,exacto,"| ⎛    C,D,E,G,H,I    ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.018421977758407593,0.13992071151733398
24,0111111110,0111111111,3,exacto,"| ⎛    C,D,E,G,H,I    ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.16456297039985657,0.14176607131958008
25,0111111110,0111111110,3,exacto,"| ⎛   B,D,E,F,G,H   ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.020086735486984253,0.06052827835083008
26,0111111110,1101101101,3,exacto,"| ⎛  B,D,E,F,G,I  ⎞ | ⎛ C ⎞ | ⎛ H ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.015096515417098999,0.028849124908447266
27,0111111110,1010101010,3,exacto,"| ⎛ B,E,F,G,H,I ⎞ | ⎛ D ⎞ | ⎛ C ⎞ |
| ⎝  a,c,e,g,i  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0029161572456359863,0.009136438369750977
28,0111111110,0101010101,3,exacto,"| ⎛ B,D,F,G,H,I ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝  b,d,f,h,j  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03760427236557007,0.0088043212890625
29,1101101101,1111111111,3,exacto,"| ⎛      D,E,G,H,J      ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.20388361811637878,0.3079833984375
30,1101101101,1111111110,3,exacto,"| ⎛     A,E,G,H,J     ⎞ | ⎛ B ⎞ | ⎛ D ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.05733940005302429,0.12414431571960449
31,1101101101,0111111111,3,exacto,"| ⎛     D,E,G,H,J     ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.09636962413787842,0.1255643367767334
32,1101101101,0111111110,3,exacto,"| ⎛    B,D,E,G,J    ⎞ | ⎛ A ⎞ | ⎛ H ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06607604026794434,0.056420087814331055
33,1101101101,1101101101,3,exacto,"| ⎛   A,B,E,G,J   ⎞ | ⎛ H ⎞ | ⎛ D ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.02207121253013611,0.025384187698364258
34,1101101101,1010101010,3,exacto,"| ⎛ B,E,G,H,J ⎞ | ⎛ D ⎞ | ⎛ A ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.011440962553024292,0.008049726486206055
35,1101101101,0101010101,3,exacto,"| ⎛ A,D,G,H,J ⎞ | ⎛ E ⎞ | ⎛ B ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06039464473724365,0.00932765007019043
36,1010101010,1111111111,3,exacto,"| ⎛        C,E,I        ⎞ | ⎛ A ⎞ | ⎛ G ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.34878814220428467,0.22884511947631836
37,1010101010,1111111110,3,exacto,"| ⎛       A,G,I       ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0962027907371521,0.09234976768493652
38,1010101010,0111111111,3,exacto,"| ⎛       E,G,I       ⎞ | ⎛ A ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.14275512099266052,0.09488081932067871
39,1010101010,0111111110,3,exacto,"| ⎛      A,E,G      ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.020086735486984253,0.04334664344787598
40,1010101010,1101101101,3,exacto,"| ⎛     A,E,G     ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.025167524814605713,0.01982855796813965
41,1010101010,1010101010,3,exacto,"| ⎛   E,G,I   ⎞ | ⎛ C ⎞ | ⎛ A ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.013775616884231567,0.006496906280517578
42,1010101010,0101010101,3,exacto,"| ⎛   A,G,I   ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03760427236557007,0.0066339969635009766
43,0101010101,1111111111,3,exacto,"| ⎛        D,H,J        ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.20348769426345825,0.23491382598876953
44,0101010101,1111111110,3,exacto,"| ⎛       D,H,J       ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.018421977758407593,0.09393167495727539
45,0101010101,0111111111,3,exacto,"| ⎛       D,H,J       ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.16456297039985657,0.09683966636657715
46,0101010101,0111111110,3,exacto,"| ⎛      D,F,J      ⎞ | ⎛ H ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.11500602960586548,0.042612552642822266
47,0101010101,1101101101,3,exacto,"| ⎛     B,D,J     ⎞ | ⎛ H ⎞ | ⎛ F ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.01921844482421875,0.019435882568359375
48,0101010101,1010101010,3,exacto,"| ⎛   B,H,J   ⎞ | ⎛ D ⎞ | ⎛ F ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0061518847942352295,0.006680965423583984
49,0101010101,0101010101,3,exacto,"| ⎛   D,F,J   ⎞ | ⎛ B ⎞ | ⎛ H ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06516313552856445,0.006398677825927734
