Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
11,1111111110,0111111110,2,exacto,"| ⎛ A,B,D,E,F,G,H,I ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.0016728639602661133,0.04669904708862305
12,1111111110,1101101101,2,exacto,"| ⎛ A,B,D,E,F,G,H,I ⎞ | ⎛ C ⎞ |
| ⎝  a,b,d,e,g,h,j  ⎠ | ⎝ ∅ ⎠ |
",0.006891012191772461,0.024568796157836914
13,1111111110,1010101010,2,exacto,"| ⎛ A,B,C,E,F,G,H,I ⎞ | ⎛ D ⎞ |
| ⎝    a,c,e,g,i    ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.008862972259521484
14,1111111110,0101010101,2,exacto,"| ⎛ A,B,D,E,F,G,H,I ⎞ | ⎛ C ⎞ |
| ⎝    b,d,f,h,j    ⎠ | ⎝ ∅ ⎠ |
",0.009392797946929932,0.011398077011108398
15,0111111111,1111111111,2,exacto,"| ⎛   B,C,D,E,G,H,I,J   ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09846800565719604,0.18425369262695312
16,0111111111,1111111110,2,exacto,"| ⎛  B,C,D,E,G,H,I,J  ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.008063524961471558,0.09347724914550781
17,0111111111,0111111111,2,exacto,"| ⎛  C,D,E,F,G,H,I,J  ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.07593017816543579,0.09201264381408691
18,0111111111,0111111110,2,exacto,"| ⎛ B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.0016728639602661133,0.04657721519470215
19,0111111111,1101101101,2,exacto,"| ⎛ B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝  a,b,d,e,g,h,j  ⎠ | ⎝ ∅ ⎠ |
",0.006891012191772461,0.02455306053161621
20,0111111111,1010101010,2,exacto,"| ⎛ B,C,E,F,G,H,I,J ⎞ | ⎛ D ⎞ |
| ⎝    a,c,e,g,i    ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.008628606796264648
21,0111111111,0101010101,2,exacto,"| ⎛ B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝    b,d,f,h,j    ⎠ | ⎝ ∅ ⎠ |
",0.009392797946929932,0.008913755416870117
22,0111111110,1111111111,2,exacto,"| ⎛    B,C,D,E,G,H,I    ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09846800565719604,0.1625688076019287
23,0111111110,1111111110,2,exacto,"| ⎛   B,C,D,E,G,H,I   ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.008063524961471558,0.08091974258422852
24,0111111110,0111111111,2,exacto,"| ⎛   C,D,E,F,G,H,I   ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.07593017816543579,0.08127856254577637
25,0111111110,0111111110,2,exacto,"| ⎛  B,D,E,F,G,H,I  ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.0016728639602661133,0.042676448822021484
26,0111111110,1101101101,2,exacto,"| ⎛ B,D,E,F,G,H,I ⎞ | ⎛ C ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ |
",0.006891012191772461,0.02344369888305664
27,0111111110,1010101010,2,exacto,"| ⎛ B,C,E,F,G,H,I ⎞ | ⎛ D ⎞ |
| ⎝   a,c,e,g,i   ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.008577585220336914
28,0111111110,0101010101,2,exacto,"| ⎛ B,D,E,F,G,H,I ⎞ | ⎛ C ⎞ |
| ⎝   b,d,f,h,j   ⎠ | ⎝ ∅ ⎠ |
",0.009392797946929932,0.008664369583129883
29,1101101101,1111111111,2,exacto,"| ⎛     B,D,E,G,H,J     ⎞ | ⎛ A ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09886392951011658,0.14826273918151855
30,1101101101,1111111110,2,exacto,"| ⎛    A,D,E,G,H,J    ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.010358452796936035,0.07196974754333496
31,1101101101,0111111111,2,exacto,"| ⎛    B,D,E,G,H,J    ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.020439445972442627,0.07317090034484863
32,1101101101,0111111110,2,exacto,"| ⎛   B,D,E,G,H,J   ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.020954012870788574,0.03689980506896973
33,1101101101,1101101101,2,exacto,"| ⎛  A,B,D,E,G,J  ⎞ | ⎛ H ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ |
",0.008205503225326538,0.020261526107788086
34,1101101101,1010101010,2,exacto,"| ⎛ A,B,E,G,H,J ⎞ | ⎛ D ⎞ |
| ⎝  a,c,e,g,i  ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.0074193477630615234
35,1101101101,0101010101,2,exacto,"| ⎛ A,B,D,G,H,J ⎞ | ⎛ E ⎞ |
| ⎝  b,d,f,h,j  ⎠ | ⎝ ∅ ⎠ |
",0.028211474418640137,0.0074825286865234375
36,1010101010,1111111111,2,exacto,"| ⎛       C,E,G,I       ⎞ | ⎛ A ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09886392951011658,0.10382199287414551
37,1010101010,1111111110,2,exacto,"| ⎛      A,E,G,I      ⎞ | ⎛ C ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.033860743045806885,0.05336189270019531
38,1010101010,0111111111,2,exacto,"| ⎛      C,E,G,I      ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.020439445972442627,0.05257701873779297
39,1010101010,0111111110,2,exacto,"| ⎛     A,E,G,I     ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.0016728639602661133,0.027673721313476562
40,1010101010,1101101101,2,exacto,"| ⎛    A,E,G,I    ⎞ | ⎛ C ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ |
",0.006891012191772461,0.01504659652709961
41,1010101010,1010101010,2,exacto,"| ⎛  A,E,G,I  ⎞ | ⎛ C ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ |
",0.002625405788421631,0.00583195686340332
42,1010101010,0101010101,2,exacto,"| ⎛  A,E,G,I  ⎞ | ⎛ C ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ |
",0.009392797946929932,0.006138801574707031
43,0101010101,1111111111,2,exacto,"| ⎛       B,D,H,J       ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09846800565719604,0.10460352897644043
44,0101010101,1111111110,2,exacto,"| ⎛      B,D,H,J      ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.008063524961471558,0.05356454849243164
45,0101010101,0111111111,2,exacto,"| ⎛      D,F,H,J      ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.07593017816543579,0.05242013931274414
46,0101010101,0111111110,2,exacto,"| ⎛     B,D,F,J     ⎞ | ⎛ H ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.04512202739715576,0.027358293533325195
47,0101010101,1101101101,2,exacto,"| ⎛    B,D,F,J    ⎞ | ⎛ H ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ |
",0.008205503225326538,0.01540517807006836
48,0101010101,1010101010,2,exacto,"| ⎛  B,F,H,J  ⎞ | ⎛ D ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.006003141403198242
49,0101010101,0101010101,2,exacto,"| ⎛  D,F,H,J  ⎞ | ⎛ B ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ |
",0.032183170318603516,0.0062220096588134766
