Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
22,0111111110,1111111111,4,exacto,"| ⎛      C,D,E,H,I      ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ G ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.45341190695762634,1.2354323863983154
23,0111111110,1111111110,4,exacto,"| ⎛     D,E,G,H,I     ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ C ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.05228272080421448,0.3512306213378906
24,0111111110,0111111111,4,exacto,"| ⎛     D,E,G,H,I     ⎞ | ⎛ B ⎞ | ⎛ F ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.28687864542007446,0.3522679805755615
25,0111111110,0111111110,4,exacto,"| ⎛    B,D,E,F,G    ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ H ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06520876288414001,0.10873126983642578
26,0111111110,1101101101,4,exacto,"| ⎛   B,D,E,G,I   ⎞ | ⎛ C ⎞ | ⎛ H ⎞ | ⎛ F ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.02610945701599121,0.03972315788269043
27,0111111110,1010101010,4,exacto,"| ⎛ B,E,G,H,I ⎞ | ⎛ D ⎞ | ⎛ C ⎞ | ⎛ F ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.00877729058265686,0.009408950805664062
28,0111111110,0101010101,4,exacto,"| ⎛ D,F,G,H,I ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ B ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06978744268417358,0.009664773941040039
29,1101101101,1111111111,4,exacto,"| ⎛       D,E,H,J       ⎞ | ⎛ A ⎞ | ⎛ B ⎞ | ⎛ G ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.4538078308105469,1.0921521186828613
30,1101101101,1111111110,4,exacto,"| ⎛      A,G,H,J      ⎞ | ⎛ B ⎞ | ⎛ D ⎞ | ⎛ E ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.1196814477443695,0.31653833389282227
31,1101101101,0111111111,4,exacto,"| ⎛      D,G,H,J      ⎞ | ⎛ A ⎞ | ⎛ B ⎞ | ⎛ E ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.2727029323577881,0.3160395622253418
32,1101101101,0111111110,4,exacto,"| ⎛     B,D,G,J     ⎞ | ⎛ A ⎞ | ⎛ H ⎞ | ⎛ E ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.11860063672065735,0.10038542747497559
33,1101101101,1101101101,4,exacto,"| ⎛    A,B,E,G    ⎞ | ⎛ H ⎞ | ⎛ D ⎞ | ⎛ J ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.04522034525871277,0.03704643249511719
34,1101101101,1010101010,4,exacto,"| ⎛  B,E,H,J  ⎞ | ⎛ D ⎞ | ⎛ A ⎞ | ⎛ G ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03240874409675598,0.009006977081298828
35,1101101101,0101010101,4,exacto,"| ⎛  A,D,G,J  ⎞ | ⎛ E ⎞ | ⎛ B ⎞ | ⎛ H ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.09337460994720459,0.008972883224487305
36,1010101010,1111111111,4,exacto,"| ⎛ ∅ ⎞ | ⎛ ∅ ⎞ | ⎛     C,E,G,I     ⎞ | ⎛ A ⎞ |
| ⎝ a ⎠ | ⎝ b ⎠ | ⎝ c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.48135581612586975,0.8524274826049805
37,1010101010,1111111110,4,exacto,"| ⎛        A,G        ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ I ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.23620390892028809,0.2466599941253662
38,1010101010,0111111111,4,exacto,"| ⎛ ∅ ⎞ | ⎛      E,G,I      ⎞ | ⎛ A ⎞ | ⎛ C ⎞ |
| ⎝ b ⎠ | ⎝ c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.24540647864341736,0.23117852210998535
39,1010101010,0111111110,4,exacto,"| ⎛       E,G       ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.04104074835777283,0.07342982292175293
40,1010101010,1101101101,4,exacto,"| ⎛      E,G      ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ A ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.09506717324256897,0.026760339736938477
41,1010101010,1010101010,4,exacto,"| ⎛    E,I    ⎞ | ⎛ C ⎞ | ⎛ A ⎞ | ⎛ G ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03474339842796326,0.006916522979736328
42,1010101010,0101010101,4,exacto,"| ⎛    A,I    ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ G ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.08298218250274658,0.006932973861694336
43,0101010101,1111111111,4,exacto,"| ⎛ ∅ ⎞ | ⎛       D,H,J       ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ e ⎠ | ⎝ a,b,c,d,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.41336628794670105,0.8243794441223145
44,0101010101,1111111110,4,exacto,"| ⎛        H,J        ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ D ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06540292501449585,0.23043060302734375
45,0101010101,0111111111,4,exacto,"| ⎛ ∅ ⎞ | ⎛ ∅ ⎞ | ⎛    D,F,H,J    ⎞ | ⎛ B ⎞ |
| ⎝ d ⎠ | ⎝ e ⎠ | ⎝ b,c,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.3263208270072937,0.2365562915802002
46,0101010101,0111111110,4,exacto,"| ⎛       F,J       ⎞ | ⎛ H ⎞ | ⎛ B ⎞ | ⎛ D ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.19075554609298706,0.07718801498413086
47,0101010101,1101101101,4,exacto,"| ⎛      B,J      ⎞ | ⎛ H ⎞ | ⎛ F ⎞ | ⎛ D ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03308415412902832,0.028582334518432617
48,0101010101,1010101010,4,exacto,"| ⎛    H,J    ⎞ | ⎛ D ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,c,e,g,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.055873751640319824,0.007831096649169922
49,0101010101,0101010101,4,exacto,"| ⎛    D,F    ⎞ | ⎛ B ⎞ | ⎛ H ⎞ | ⎛ J ⎞ |
| ⎝ b,d,f,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.10016500949859619,0.0072021484375
