Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
21,0111111111,0101010101,5,exacto,"| B,D,E,G,H | I | C | F | J |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.0654296875,0.006616353988647461
22,0111111110,1111111111,5,exacto,"| B,D,E,F,H | ∅ | G | I | C |
| a,b,c,d,e,f,g,h,i | j | ∅ | ∅ | ∅ |
",1.4482421875,1.8953826427459717
23,0111111110,1111111110,5,exacto,"| B,D,E,H | G | C | I | F |
| a,b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.55859375,0.4215266704559326
24,0111111110,0111111111,5,exacto,"| C,D,E,I | G | F | B | H |
| b,c,d,e,f,g,h,i,j | ∅ | ∅ | ∅ | ∅ |
",0.03515625,0.4232034683227539
25,0111111110,0111111110,5,exacto,"| D,E,F,G | B | H | I | C |
| b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.28125,0.105743408203125
26,0111111110,1101101101,5,exacto,"| D,F,G,H | C | I | E | B |
| a,b,d,e,g,h,j | ∅ | ∅ | ∅ | ∅ |
",0.26953125,0.03314542770385742
27,0111111110,1010101010,5,exacto,"| C,D,G,I | E | F | B | H |
| a,c,e,g,i | ∅ | ∅ | ∅ | ∅ |
",0.1884765625,0.006241798400878906
28,0111111110,0101010101,5,exacto,"| B,D,E,H | I | C | F | G |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.06640625,0.006195068359375
29,1101101101,1111111111,5,exacto,"| B,D,E,H | ∅ | J | G | A |
| a,b,c,d,e,f,g,h,i | j | ∅ | ∅ | ∅ |
",1.4697265625,1.7114105224609375
30,1101101101,1111111110,5,exacto,"| ∅ | B,D,E,H | J | G | A |
| c | a,b,d,e,f,g,h,i | ∅ | ∅ | ∅ |
",0.5302734375,0.3728621006011963
31,1101101101,0111111111,5,exacto,"| A,D,J | G | B | H | E |
| b,c,d,e,f,g,h,i,j | ∅ | ∅ | ∅ | ∅ |
",0.0439453125,0.37735414505004883
32,1101101101,0111111110,5,exacto,"| D,E,G | B | H | A | J |
| b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.287109375,0.09427714347839355
33,1101101101,1101101101,5,exacto,"| D,G,H | J | A | E | B |
| a,b,d,e,g,h,j | ∅ | ∅ | ∅ | ∅ |
",0.333984375,0.02815866470336914
34,1101101101,1010101010,5,exacto,"| D,G,H | E | J | A | B |
| a,c,e,g,i | ∅ | ∅ | ∅ | ∅ |
",0.177734375,0.0054547786712646484
35,1101101101,0101010101,5,exacto,"| B,D,E | A | J | G | H |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.1142578125,0.005432844161987305
36,1010101010,1111111111,5,exacto,"| ∅ | ∅ | C,E,G | I | A |
| c | h | a,b,d,e,f,g,i,j | ∅ | ∅ |
",1.203125,1.2730934619903564
37,1010101010,1111111110,5,exacto,"| ∅ | E,I | G | A | C |
| h | a,b,c,d,e,f,g,i | ∅ | ∅ | ∅ |
",0.0439453125,0.27886176109313965
38,1010101010,0111111111,5,exacto,"| ∅ | ∅ | A,C,I | E | G |
| b | c | d,e,f,g,h,i,j | ∅ | ∅ |
",0.6455078125,0.2819066047668457
39,1010101010,0111111110,5,exacto,"| ∅ | E,G | A | C | I |
| d | b,c,e,f,g,h,i | ∅ | ∅ | ∅ |
",0.27734375,0.0709679126739502
40,1010101010,1101101101,5,exacto,"| ∅ | ∅ | A,E,G | C | I |
| e | h | a,b,d,g,j | ∅ | ∅ |
",0.140625,0.021168231964111328
41,1010101010,1010101010,5,exacto,"| ∅ | G,I | E | A | C |
| g | a,c,e,i | ∅ | ∅ | ∅ |
",0.1796875,0.0042841434478759766
42,1010101010,0101010101,5,exacto,"| E | I | C | A | G |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.0615234375,0.0051119327545166016
43,0101010101,1111111111,5,exacto,"| ∅ | B,D,H | ∅ | J | F |
| c | a,b,d,e,f,g,h,i | j | ∅ | ∅ |
",1.2509765625,1.2980625629425049
44,0101010101,1111111110,5,exacto,"| ∅ | D,H | J | B | F |
| b | a,c,d,e,f,g,h,i | ∅ | ∅ | ∅ |
",1.0244140625,0.28119421005249023
45,0101010101,0111111111,5,exacto,"| ∅ | D,J | F | B | H |
| c | b,d,e,f,g,h,i,j | ∅ | ∅ | ∅ |
",0.2802734375,0.2785801887512207
46,0101010101,0111111110,5,exacto,"| ∅ | D,F,J | ∅ | B | H |
| b | c,d,e,f,g,h | i | ∅ | ∅ |
",0.1484375,0.07115697860717773
47,0101010101,1101101101,5,exacto,"| D,F,H | ∅ | ∅ | J | B |
| a,b,d,e,g | h | j | ∅ | ∅ |
",0.212890625,0.021344661712646484
48,0101010101,1010101010,5,exacto,"| ∅ | F | D,H | J | B |
| a | c | e,g,i | ∅ | ∅ |
",0.1171875,0.0043947696685791016
49,0101010101,0101010101,5,exacto,"| B,D | ∅ | F | J | H |
| b,d,f,h | j | ∅ | ∅ | ∅ |
",0.0927734375,0.0042438507080078125
